Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (11),Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor stair (7),Zone_ZoneSensor stair,Zone_ZoneSensor (1),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (1),Zone_ZoneSensor stair (5),Zone_ZoneSensor stair (2),Zone_ZoneSensor stair (9),Zone_ZoneSensor stair (10),Zone_ZoneSensor stair (8)
149.08,32,218,0.1806,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
150.20,32,218,0.1697,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,2
151.30,32,218,0.1730,84,41,20,50,29,77,0,0,0,0,84,0,0,0,0,0,0,0
152.49,33,217,0.1674,84,41,20,50,28,77,0,0,0,0,84,0,0,0,0,0,0,0
153.57,33,217,0.1752,84,41,20,50,28,77,0,0,0,0,84,0,0,0,0,0,0,0
154.68,33,217,0.1744,84,41,20,50,28,77,0,0,0,0,84,0,0,0,0,0,0,0
155.80,33,217,0.1740,84,41,20,50,28,77,0,0,0,0,84,0,0,0,0,0,0,0
156.91,33,217,0.1848,84,41,20,50,28,77,0,0,2,0,84,0,2,0,0,0,0,0
158.01,33,217,0.1873,84,41,20,50,28,77,0,0,0,0,84,0,2,0,0,0,0,0
159.20,35,215,0.1748,84,41,20,50,27,76,0,0,0,0,84,0,0,0,0,0,0,0
160.23,36,214,0.1901,84,41,20,50,26,76,0,0,0,0,84,0,0,0,0,0,0,0
161.23,37,213,0.1795,84,41,19,50,25,76,2,0,0,0,84,0,0,0,0,0,0,0
162.26,38,212,0.1719,84,41,19,50,25,75,2,0,0,0,84,0,0,0,0,0,0,0
163.39,38,212,0.1763,84,41,19,50,25,75,2,0,0,0,84,0,0,0,0,0,0,0
164.53,38,212,0.1719,84,41,19,50,25,75,0,0,0,0,84,0,0,0,0,0,0,0
165.63,38,212,0.1705,84,40,19,51,25,75,0,0,0,0,84,0,0,0,2,0,0,0
166.79,39,211,0.1666,84,39,19,52,24,75,0,0,2,0,84,0,0,0,4,0,0,0
167.92,39,211,0.1676,84,39,19,52,25,74,0,0,2,0,84,0,0,0,2,0,0,0
169.08,40,210,0.1694,84,39,19,52,25,74,0,0,0,0,84,0,0,0,0,0,0,0
170.25,40,210,0.1726,84,39,19,52,25,74,0,0,0,0,84,0,0,0,0,0,0,0
171.37,40,210,0.1697,84,39,19,52,25,74,0,0,0,0,84,0,0,0,0,0,0,0
172.49,41,209,0.1599,84,39,19,52,25,73,0,0,0,0,84,0,0,0,0,0,0,0
173.60,41,209,0.1612,84,39,19,52,25,73,0,0,0,0,84,0,0,0,0,0,0,0
174.71,41,209,0.1676,84,39,19,52,25,73,0,0,0,0,84,0,0,0,0,0,0,0
175.88,41,209,0.1674,84,39,19,52,25,73,0,0,0,0,84,0,0,0,0,0,0,0
177.06,41,209,0.1716,84,39,19,52,25,73,0,0,0,0,84,0,0,0,0,0,0,0
178.19,42,208,0.1727,84,39,19,51,25,73,0,0,0,0,84,0,0,0,0,0,0,0
179.30,42,208,0.1710,84,37,19,53,25,73,0,0,0,0,84,0,2,0,2,0,0,0
180.37,42,208,0.1687,84,37,19,53,25,73,0,0,0,0,84,0,2,0,2,0,0,0
181.57,42,208,0.1709,86,37,19,53,25,73,0,0,0,0,86,0,2,0,0,0,0,0
182.71,44,206,0.1540,86,37,19,53,25,71,0,0,0,0,86,0,4,0,0,0,0,0
183.81,44,206,0.1620,86,37,19,53,25,71,0,0,0,0,86,0,2,0,0,0,0,0
184.86,44,206,0.1586,86,37,19,53,25,71,0,0,0,0,86,0,0,0,0,0,0,0
185.92,44,206,0.1568,86,37,19,53,25,71,0,0,0,0,86,0,0,0,0,0,0,0
187.02,45,205,0.1535,86,37,19,53,25,70,0,0,0,0,86,0,0,0,0,0,0,0
188.03,45,205,0.1572,86,37,19,53,25,70,0,0,0,0,86,0,0,0,0,0,0,0
189.11,46,204,0.1517,86,37,19,53,24,70,0,0,0,0,86,0,0,0,0,0,0,0
190.11,46,204,0.1468,86,36,19,53,24,70,2,0,0,2,86,0,0,0,0,0,0,0
191.16,47,203,0.1556,86,36,19,53,24,70,2,0,0,2,86,0,0,0,0,0,0,0
192.19,47,203,0.1534,86,36,19,53,24,70,2,0,0,0,86,0,0,0,0,0,0,0
193.27,47,203,0.1473,86,36,19,53,24,70,0,0,0,0,86,0,0,0,0,0,0,0
194.28,47,203,0.1563,86,36,19,53,24,70,0,0,0,0,86,0,2,0,0,0,0,0
195.33,47,203,0.1563,86,36,19,53,24,70,0,0,0,0,86,0,2,0,0,0,0,0
196.38,47,203,0.1633,86,36,19,53,25,69,0,0,2,0,86,0,2,0,0,0,0,0
197.39,48,202,0.1498,86,36,19,53,24,69,0,0,2,0,86,0,0,0,0,0,0,0
198.45,50,200,0.1484,86,36,19,53,23,68,0,0,2,0,86,0,0,0,0,0,0,0
199.50,50,200,0.1458,86,36,19,53,23,68,0,0,2,0,86,0,0,0,0,0,0,0
200.64,50,200,0.1438,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
201.72,50,200,0.1488,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
202.87,50,200,0.1468,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
203.95,50,200,0.1480,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
205.02,50,200,0.1537,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
206.08,50,200,0.1647,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
207.16,50,200,0.1659,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
208.18,50,200,0.1514,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
209.22,50,200,0.1546,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
210.26,50,200,0.1506,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
211.38,50,200,0.1586,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
212.39,50,200,0.1648,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
213.46,50,200,0.1683,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
214.49,50,200,0.1729,86,36,19,53,23,68,0,0,0,0,86,0,0,0,0,0,0,0
