AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
689,School Table,299.98,Exit_Sub2,0,10
115,Typical School Chair and Table 16,300.02,Exit_Sub3,0,10
884,School Table,300.24,Exit_Sub1,0,10
908,Typical School Chair and Table 7,300.85,Exit_Sub1,0,10
782,School Table,300.92,Exit_Sub3,0,10
260,School Table,301.40,Exit_Sub1,0,10
152,Typical School Chair and Table 18,301.54,Exit_Sub3,0,10
805,Typical School Chair and Table 3,301.66,Exit_Sub1,0,10
804,School Table,302.06,Exit_Sub1,0,10
261,Typical School Chair and Table 12,302.22,Exit_Sub1,0,10
450,School Table,302.22,Exit_Sub2,0,10
195,School Table,302.83,Exit_Sub1,0,10
214,School Table,303.84,Exit_Sub1,0,10
47,School Table,305.15,Exit_Sub1,0,10
170,School Table,305.50,Exit_Sub2,0,10
787,School Table,305.53,Exit_Sub1,0,10
607,Typical School Chair and Table 14,305.76,Exit_Sub3,0,10
881,Typical School Chair and Table 8,305.94,Exit_Sub1,0,10
730,School Table,306.09,Exit_Sub1,0,10
991,Typical School Chair and Table 7,306.24,Exit_Sub2,0,10
887,School Table,306.35,Exit_Sub_Main,0,10
819,Typical School Chair and Table 7,306.60,Exit_Sub3,0,10
293,Typical School Chair and Table 8,306.98,Exit_Sub2,0,10
411,Typical School Chair and Table 18,307.30,Exit_Sub2,0,10
208,School Table,307.92,Exit_Sub1,0,10
604,Typical School Chair and Table 2,308.36,Exit_Sub2,0,10
192,School Table,308.51,Exit_Sub_Main,0,10
621,Typical School Chair and Table 10,309.75,Exit_Sub2,0,10
130,Typical School Chair and Table 3,309.90,Exit_Sub3,0,10
760,Typical School Chair and Table 13,309.96,Exit_Sub_Main,0,10
144,Typical School Chair and Table 15,310.03,Exit_Sub1,0,10
124,School Table,310.46,Exit_Sub3,0,10
659,School Table,310.56,Exit_Sub1,0,10
72,School Table,311.16,Exit_Sub3,0,10
868,Typical School Chair and Table 13,311.23,Exit_Sub1,0,10
282,School Table,311.64,Exit_Sub_Main,0,10
859,Typical School Chair and Table 12,313.67,Exit_Sub1,0,10
796,School Table,314.08,Exit_Sub1,0,10
678,Typical School Chair and Table 20,314.21,Exit_Sub1,0,10
269,School Table,315.10,Exit_Sub2,0,10
198,School Table,315.23,Exit_Sub1,0,10
608,Typical School Chair and Table 4,316.50,Exit_Sub_Main,0,10
332,Typical School Chair and Table,317.47,Exit_Sub_Main,0,10
635,Typical School Chair and Table 10,319.10,Exit_Sub1,0,10
534,School Table,319.92,Exit_Sub1,0,10
792,School Table,320.04,Exit_Sub2,0,10
660,School Table,320.32,Exit_Sub1,0,10
