Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair,Zone_ZoneSensor stair (9),Zone_ZoneSensor (1),Zone_ZoneSensor stair (3),Zone_ZoneSensor stair (6),Zone_ZoneSensor stair (7),Zone_ZoneSensor stair (4)_noSmartSign
215.82,7,993,0.0169,322,250,273,93,377,0,0,322,0,0,2,0
217.20,7,993,0.0187,322,250,273,93,377,0,0,322,0,0,0,2
218.57,7,993,0.0186,322,250,273,93,377,0,0,322,0,0,0,2
219.91,7,993,0.0192,322,250,273,93,377,0,0,322,0,0,0,2
221.23,8,992,0.0175,322,249,273,93,377,0,0,322,0,0,0,2
222.61,8,992,0.0167,322,249,273,93,377,0,0,322,0,0,0,2
224.04,8,992,0.0199,322,249,273,93,377,0,0,322,0,0,0,0
225.38,8,992,0.0184,322,249,273,93,377,0,0,322,0,0,0,0
226.57,8,992,0.0181,322,249,273,93,377,0,0,322,0,0,0,0
227.91,8,992,0.0179,322,249,273,93,377,0,0,322,0,0,0,0
229.27,8,992,0.0182,322,249,273,93,377,0,0,322,0,0,0,0
230.61,9,991,0.0161,322,249,272,93,377,0,0,322,0,0,0,0
231.99,9,991,0.0162,322,249,272,93,377,0,0,322,0,0,0,0
233.39,9,991,0.0174,322,249,272,93,377,0,0,322,0,0,0,0
234.72,9,991,0.0162,322,249,272,93,377,0,0,322,0,0,0,0
236.08,10,990,0.0168,322,249,272,92,377,0,0,322,0,0,0,0
237.44,10,990,0.0176,322,249,272,92,377,0,0,322,0,0,0,0
238.77,10,990,0.0178,322,249,272,92,377,0,0,322,0,0,2,0
240.13,10,990,0.0190,322,249,272,93,376,0,0,322,0,0,4,0
241.47,10,990,0.0180,322,249,272,93,376,0,0,322,0,0,2,0
242.86,10,990,0.0185,322,249,272,93,376,0,0,322,0,0,0,0
244.23,10,990,0.0188,322,249,272,93,376,0,0,322,0,0,0,0
245.60,10,990,0.0209,322,249,272,93,376,0,0,322,0,0,0,0
246.97,11,989,0.0211,322,249,272,92,376,0,0,322,0,0,0,0
248.31,11,989,0.0209,322,249,272,92,376,0,0,322,0,0,2,0
249.71,11,989,0.0195,322,249,272,92,376,0,0,322,0,0,0,0
251.04,11,989,0.0203,322,249,272,92,376,0,0,322,0,0,0,0
252.38,11,989,0.0212,322,249,272,92,376,0,0,322,0,0,0,0
253.75,11,989,0.0213,322,249,272,92,376,0,0,322,0,2,0,0
255.12,11,989,0.0201,322,249,272,92,376,0,0,322,0,2,0,0
256.45,11,989,0.0204,322,249,272,92,376,0,0,322,0,2,0,0
257.82,11,989,0.0199,322,249,272,92,376,0,0,322,0,2,0,0
259.15,11,989,0.0199,322,249,272,92,376,0,0,322,0,0,0,0
260.48,11,989,0.0237,322,249,272,92,376,0,0,322,0,0,0,0
261.80,11,989,0.0216,322,249,272,92,376,0,0,322,0,0,0,0
263.16,11,989,0.0232,322,249,272,92,376,0,0,322,0,0,0,0
264.48,11,989,0.0223,322,249,272,92,376,0,0,322,0,0,0,0
265.81,11,989,0.0242,322,249,272,92,376,0,0,322,0,0,0,0
267.23,11,989,0.0219,322,249,272,92,376,0,0,322,0,0,0,0
268.58,11,989,0.0221,322,249,272,92,376,0,0,322,0,2,0,0
269.96,11,989,0.0227,322,249,272,92,376,0,0,322,0,2,0,0
271.31,12,988,0.0204,322,249,272,91,376,0,0,322,0,2,0,0
272.73,14,986,0.0182,322,249,271,90,376,0,0,322,0,2,0,0
274.14,14,986,0.0181,322,249,271,91,375,0,0,322,0,0,2,0
275.50,14,986,0.0183,322,249,271,91,375,0,0,322,0,0,0,0
276.74,15,985,0.0167,322,248,271,91,375,0,0,322,0,0,0,0
278.15,15,985,0.0186,322,248,271,91,375,0,0,322,0,0,0,0
279.48,15,985,0.0190,322,248,271,91,375,0,0,322,0,0,0,0
280.81,16,984,0.0160,322,248,271,90,375,0,0,322,0,0,0,0
282.52,16,984,0.0165,322,248,271,90,375,0,0,322,0,0,0,0
283.85,16,984,0.0221,322,248,271,90,375,0,0,322,0,0,0,0
285.19,16,984,0.0198,322,248,271,90,375,0,0,322,0,0,0,0
286.55,16,984,0.0200,322,248,271,90,375,0,0,322,0,0,0,0
287.92,17,983,0.0188,322,248,270,90,375,0,0,322,0,0,0,0
289.32,17,983,0.0192,322,248,270,90,375,0,0,322,0,0,0,0
290.67,17,983,0.0175,322,248,270,90,375,0,0,322,0,0,0,0
292.02,17,983,0.0209,322,248,270,90,375,0,0,322,0,0,0,0
293.51,17,983,0.0180,322,248,270,90,375,0,0,322,0,0,0,0
294.54,17,983,0.0184,322,248,270,90,375,0,0,322,0,0,0,0
295.57,17,983,0.0192,322,248,270,90,375,0,0,322,0,0,0,0
297.06,17,983,0.0171,322,248,270,90,375,0,0,322,0,0,0,0
298.26,17,983,0.0189,322,248,270,90,375,0,0,322,0,0,0,0
299.73,17,983,0.0205,322,248,270,90,375,0,0,322,0,0,0,0
301.21,17,983,0.0195,322,248,270,90,375,0,0,322,0,0,2,0
302.62,17,983,0.0176,322,248,270,90,375,0,0,322,0,0,0,0
304.00,17,983,0.0196,322,248,270,90,375,0,0,322,0,0,0,0
305.38,18,982,0.0210,322,248,270,89,375,0,0,322,0,0,0,0
306.76,18,982,0.0212,322,248,270,89,375,0,0,322,0,0,0,0
308.14,18,982,0.0205,322,248,270,89,375,0,0,322,0,0,0,0
309.49,18,982,0.0211,322,248,270,89,375,0,0,322,0,0,0,0
310.80,18,982,0.0201,322,248,270,89,375,0,0,322,0,0,0,0
312.14,18,982,0.0215,322,248,270,89,375,0,0,322,0,0,0,0
313.53,18,982,0.0214,322,248,270,89,375,0,0,322,0,0,0,0
314.68,18,982,0.0212,322,248,270,89,375,0,0,322,0,0,0,0
316.00,18,982,0.0198,322,248,270,89,375,0,0,322,0,2,0,0
317.35,19,981,0.0185,322,248,270,89,374,0,0,322,0,2,0,0
318.71,20,980,0.0161,322,247,270,89,374,0,0,322,0,2,0,0
320.07,20,980,0.0185,322,247,270,89,374,0,0,322,0,2,0,0
321.39,20,980,0.0164,322,247,270,89,374,0,0,322,0,2,0,0
322.75,20,980,0.0179,322,247,270,89,374,0,0,322,0,0,0,0
324.05,20,980,0.0178,322,247,270,89,374,0,0,322,0,0,0,0
325.37,20,980,0.0201,324,247,270,89,374,0,0,324,0,0,0,0
326.69,20,980,0.0199,324,247,270,89,374,0,0,324,0,0,0,0
328.10,21,979,0.0181,324,247,270,89,373,0,0,324,0,0,0,0
329.47,22,978,0.0197,324,247,270,88,373,0,0,324,0,0,0,0
330.94,22,978,0.0212,324,247,270,88,373,0,0,324,0,0,0,0
332.40,22,978,0.0197,324,247,270,88,373,0,0,324,0,0,0,0
333.76,22,978,0.0197,324,247,270,88,373,0,0,324,0,0,0,0
335.15,23,977,0.0183,324,247,269,88,373,0,0,324,0,0,0,0
336.52,23,977,0.0189,324,247,269,88,373,0,0,324,0,0,0,0
337.94,23,977,0.0175,324,247,269,88,373,0,0,324,0,0,0,0
339.29,23,977,0.0184,324,247,269,88,373,0,0,324,0,0,0,0
340.63,23,977,0.0176,324,247,269,88,373,0,0,324,0,0,0,0
341.94,23,977,0.0175,324,247,269,88,373,0,0,324,0,0,0,0
343.30,23,977,0.0176,324,247,269,88,373,0,0,324,0,0,0,0
344.62,23,977,0.0187,324,247,269,88,373,0,0,324,0,0,0,0
345.94,23,977,0.0183,324,247,269,88,373,0,0,324,0,0,0,0
347.26,23,977,0.0180,324,247,269,88,373,0,0,324,0,0,0,0
348.61,23,977,0.0178,324,247,269,88,373,0,0,324,0,0,0,2
349.93,23,977,0.0193,324,247,269,88,373,0,0,324,0,0,0,2
351.25,23,977,0.0201,324,247,269,88,373,0,0,324,0,0,0,2
352.60,23,977,0.0199,324,247,269,88,373,0,0,324,0,0,0,2
353.96,23,977,0.0202,324,247,269,88,373,0,0,324,0,0,0,2
355.30,23,977,0.0201,324,247,269,88,373,0,0,324,0,0,0,0
356.64,23,977,0.0201,324,247,269,88,373,0,0,324,0,0,0,0
357.99,23,977,0.0196,324,247,269,88,373,0,0,324,0,0,0,0
359.31,23,977,0.0197,324,247,269,89,372,0,0,324,0,0,2,0
360.66,23,977,0.0194,324,247,269,89,372,0,0,324,0,0,2,0
362.01,23,977,0.0198,324,247,269,89,372,0,0,324,0,0,0,0
363.34,23,977,0.0203,324,247,269,89,372,0,0,324,0,0,0,0
364.67,23,977,0.0206,324,247,269,89,372,0,0,324,0,0,0,0
365.98,23,977,0.0202,324,247,269,89,372,0,0,324,0,0,0,0
367.32,23,977,0.0218,324,246,270,89,372,2,0,324,0,0,0,0
368.68,23,977,0.0216,324,246,270,89,372,2,0,324,0,0,0,0
370.00,23,977,0.0224,324,246,270,89,372,0,0,324,0,0,0,0
371.33,23,977,0.0232,324,246,270,89,372,0,0,324,0,0,0,0
372.67,23,977,0.0233,324,246,270,89,372,0,0,324,0,0,0,0
374.02,23,977,0.0246,324,246,270,89,372,0,0,324,0,0,0,0
375.36,23,977,0.0256,324,246,270,89,372,0,0,324,0,0,0,0
376.74,23,977,0.0259,324,246,270,89,372,0,0,324,0,0,0,0
378.12,23,977,0.0241,324,246,270,89,372,0,0,324,0,0,0,0
379.48,23,977,0.0233,324,246,270,89,372,0,0,324,0,0,0,0
380.85,23,977,0.0254,324,246,270,89,372,0,0,324,0,2,0,0
382.25,23,977,0.0264,324,246,270,89,372,0,0,324,0,4,0,0
383.67,23,977,0.0261,324,245,271,89,372,2,0,324,0,4,0,0
385.02,23,977,0.0249,324,245,271,89,372,2,0,324,0,4,0,0
386.34,23,977,0.0246,324,245,271,89,372,0,0,324,0,4,0,0
387.70,24,976,0.0228,324,244,271,89,372,0,0,324,0,2,0,0
389.03,24,976,0.0220,324,244,271,89,372,0,0,324,0,0,0,0
390.46,25,975,0.0220,324,243,271,89,372,0,0,324,0,0,0,0
391.59,26,974,0.0189,324,243,271,88,372,0,0,324,0,0,0,0
392.98,27,973,0.0208,324,243,271,88,371,0,0,324,0,0,0,0
394.32,27,973,0.0196,324,243,271,88,371,0,0,324,0,0,0,0
396.03,27,973,0.0213,324,243,271,88,371,0,0,324,0,0,0,0
397.40,27,973,0.0217,324,243,271,88,371,0,0,324,0,0,0,0
398.73,27,973,0.0213,324,243,271,88,371,0,0,324,0,0,0,0
400.15,28,972,0.0207,324,243,270,88,371,0,0,324,0,2,0,0
401.51,29,971,0.0182,324,243,269,88,371,0,0,324,0,2,0,0
402.91,29,971,0.0180,324,243,269,88,371,0,0,324,0,2,0,0
404.23,30,970,0.0171,324,242,269,88,371,0,0,324,0,2,0,0
405.57,30,970,0.0168,324,242,269,88,371,0,0,324,0,2,0,0
406.91,31,969,0.0147,324,241,269,88,371,0,0,324,0,0,0,0
408.28,31,969,0.0152,324,241,269,88,371,0,0,324,0,0,0,0
409.56,31,969,0.0153,324,241,269,88,371,0,0,324,0,0,0,0
410.90,31,969,0.0149,324,241,269,88,371,0,0,324,0,0,0,0
412.29,32,968,0.0132,324,240,269,88,371,0,0,324,0,0,0,0
413.70,32,968,0.0118,324,240,269,88,371,0,0,324,0,0,0,2
415.13,32,968,0.0155,324,240,269,88,371,0,0,324,0,0,0,2
416.52,32,968,0.0158,324,240,269,88,371,0,0,324,0,0,0,2
417.90,32,968,0.0159,324,240,269,88,371,0,0,324,0,0,0,2
419.25,33,967,0.0152,324,240,268,88,371,0,0,324,0,0,0,0
420.68,33,967,0.0153,324,240,268,88,371,0,0,324,0,0,0,0
422.02,33,967,0.0151,324,240,268,88,371,0,0,324,0,0,0,0
423.38,33,967,0.0149,324,240,268,88,371,0,0,324,0,0,0,0
424.73,33,967,0.0146,324,240,268,88,371,0,0,324,0,0,0,0
426.05,33,967,0.0144,324,240,268,88,371,0,0,324,0,0,0,0
427.40,33,967,0.0149,324,240,268,88,371,0,0,324,0,0,0,0
428.79,34,966,0.0132,324,240,267,88,371,0,0,324,0,0,0,0
430.17,34,966,0.0129,324,240,267,88,371,0,0,324,0,0,0,0
431.50,34,966,0.0144,324,240,267,88,371,0,0,324,0,0,0,0
432.85,34,966,0.0150,324,240,267,88,371,0,0,324,0,0,0,0
434.20,34,966,0.0153,324,240,267,88,371,0,0,324,0,0,0,0
435.53,34,966,0.0150,326,240,267,88,371,0,0,326,0,0,0,0
436.89,34,966,0.0149,326,240,267,88,371,0,0,326,0,0,0,0
438.29,35,965,0.0136,326,240,267,88,370,0,0,326,0,0,0,0
439.63,35,965,0.0137,326,240,267,88,370,0,0,326,0,0,0,0
441.03,35,965,0.0132,326,240,267,88,370,0,0,326,0,0,0,0
442.41,35,965,0.0131,326,240,267,88,370,0,0,326,0,0,0,0
443.75,35,965,0.0144,326,240,267,88,370,0,0,326,0,0,0,0
445.11,36,964,0.0121,326,240,266,88,370,0,0,326,0,0,0,0
446.49,36,964,0.0120,326,240,266,88,370,0,0,326,0,0,0,0
447.84,36,964,0.0120,326,240,266,88,370,0,0,326,0,0,0,0
449.20,36,964,0.0130,326,240,266,88,370,0,0,326,0,0,0,0
450.44,37,963,0.0130,326,239,266,88,370,0,0,326,0,0,0,0
451.80,37,963,0.0129,326,239,266,88,370,0,0,326,0,0,0,0
453.19,37,963,0.0122,326,239,266,88,370,0,0,326,0,0,0,0
454.51,37,963,0.0124,326,239,266,88,370,0,0,326,0,0,0,0
455.83,37,963,0.0123,326,239,266,88,370,0,0,326,0,0,0,0
457.14,37,963,0.0132,326,239,266,88,370,0,0,326,0,0,0,0
458.51,37,963,0.0148,326,239,266,88,370,0,0,326,0,0,0,0
459.83,37,963,0.0139,326,239,266,88,370,0,0,326,0,0,0,0
461.15,37,963,0.0144,326,239,266,88,370,0,0,326,0,0,0,0
462.49,37,963,0.0164,326,239,266,89,369,0,0,326,0,0,2,0
463.90,37,963,0.0162,326,239,266,89,369,0,0,326,0,0,0,0
465.25,37,963,0.0163,326,239,266,89,369,0,0,326,0,2,0,0
466.58,37,963,0.0146,326,239,266,89,369,0,0,326,0,2,0,0
467.94,38,962,0.0160,326,239,266,89,368,0,0,326,0,2,0,0
469.30,38,962,0.0180,326,239,266,89,368,0,0,326,0,2,0,0
470.64,38,962,0.0245,326,239,266,89,368,0,0,326,0,0,0,0
471.98,38,962,0.0209,326,239,266,89,368,0,0,326,0,0,0,0
473.34,39,961,0.0195,326,238,266,89,368,0,0,326,0,0,0,0
474.71,39,961,0.0192,326,238,266,89,368,0,0,326,0,0,0,0
476.07,39,961,0.0193,326,238,266,89,368,0,0,326,0,0,0,0
477.39,39,961,0.0204,326,238,266,89,368,0,0,326,0,0,0,0
478.74,39,961,0.0201,326,238,266,89,368,0,0,326,0,0,0,0
480.07,39,961,0.0197,326,238,266,89,368,0,0,326,0,0,0,0
481.41,39,961,0.0215,326,238,266,89,368,0,0,326,0,0,0,0
482.75,39,961,0.0216,326,238,266,89,368,0,0,326,0,0,0,2
484.11,40,960,0.0214,326,238,265,89,368,0,0,326,0,0,0,2
485.57,40,960,0.0210,326,238,265,89,368,0,0,326,0,0,0,2
486.92,40,960,0.0210,326,238,265,89,368,0,0,326,0,0,0,2
488.16,40,960,0.0217,326,238,265,89,368,0,0,326,0,0,0,2
489.49,40,960,0.0221,326,238,265,89,368,0,0,326,0,0,0,0
