Time(s),TotalEscaped,ActiveAgents,AverageSpeed,MaxCongestion,Exit_Group 5639,Exit_Exit_Sub3,Exit_Exit_Sub2,Exit_Exit_Sub1,Exit_Exit_Sub_Main,Zone_ZoneSensor stair (4)_noSmartSign,Zone_ZoneSensor (1)
170.95,114,136,0.4940,24,27,10,34,16,49,0,24
171.99,114,136,0.5204,24,27,10,34,16,49,0,24
173.02,114,136,0.5239,26,27,10,34,16,49,0,26
174.11,116,134,0.5105,26,27,10,34,15,48,0,26
175.12,116,134,0.5179,26,27,10,34,15,48,0,26
176.16,118,132,0.5042,26,26,10,34,14,48,0,26
177.21,118,132,0.5466,26,26,10,34,14,48,0,26
178.21,118,132,0.5745,26,26,10,34,14,48,0,26
179.28,118,132,0.5873,26,26,10,34,14,48,0,26
180.28,118,132,0.5804,26,26,10,34,14,48,0,26
181.31,118,132,0.6059,26,26,10,34,14,48,0,26
182.34,121,129,0.5962,26,26,10,34,12,47,0,26
183.36,121,129,0.5987,26,26,10,34,12,47,0,26
184.42,123,127,0.5917,26,25,10,34,11,47,0,26
185.46,123,127,0.6035,26,25,10,34,11,47,0,26
186.47,124,126,0.6047,26,25,9,34,11,47,0,26
187.53,124,126,0.6366,26,25,9,34,11,47,0,26
188.58,125,125,0.6300,26,25,9,33,11,47,0,26
189.58,127,123,0.6470,26,25,9,31,11,47,0,26
190.60,127,123,0.6524,26,25,9,31,11,47,0,26
191.69,127,123,0.6450,26,25,9,31,11,47,0,26
192.71,127,123,0.6506,28,25,9,31,11,47,2,28
193.73,130,120,0.6419,28,24,9,30,11,46,2,28
194.74,132,118,0.6656,28,24,9,29,11,45,2,28
195.82,133,117,0.6661,28,24,9,28,11,45,2,28
196.85,133,117,0.6666,28,24,9,28,11,45,2,28
197.94,134,116,0.6700,28,24,9,27,11,45,2,28
199.05,135,115,0.6638,30,23,9,27,11,45,0,30
200.09,136,114,0.6562,30,23,9,27,11,44,0,30
201.10,137,113,0.6906,30,23,9,26,11,44,0,30
202.15,137,113,0.6950,30,23,9,26,11,44,0,30
203.20,137,113,0.7166,30,23,9,26,11,44,0,30
204.28,138,112,0.7249,30,22,9,26,11,44,0,30
205.35,138,112,0.7438,30,22,9,26,11,44,0,30
206.40,138,112,0.7418,30,22,9,26,11,44,0,30
207.43,138,112,0.7388,30,22,9,26,11,44,0,30
208.46,138,112,0.7644,30,22,9,26,11,44,0,30
209.50,139,111,0.7884,32,22,9,26,10,44,0,32
210.57,141,109,0.7715,32,22,9,25,10,43,0,32
211.64,142,108,0.7945,32,22,9,25,10,42,0,32
212.67,143,107,0.7965,32,22,8,25,10,42,0,32
213.74,147,103,0.7503,32,21,7,24,10,41,0,32
214.78,147,103,0.7860,32,21,7,24,10,41,0,32
215.82,148,102,0.8014,32,20,7,24,10,41,0,32
216.85,149,101,0.8294,34,19,7,24,10,41,0,34
217.88,150,100,0.8498,34,19,7,24,10,40,0,34
218.89,152,98,0.8338,34,18,7,24,10,39,0,34
219.92,152,98,0.8487,34,18,7,24,10,39,0,34
220.94,153,97,0.8400,34,17,7,24,10,39,0,34
222.01,153,97,0.8454,34,17,7,24,10,39,0,34
223.07,153,97,0.8769,34,17,7,24,10,39,0,34
224.07,153,97,0.8650,34,17,7,24,10,39,0,34
225.14,155,95,0.8519,34,17,7,22,10,39,0,34
226.15,156,94,0.8423,34,17,7,22,9,39,0,34
227.17,156,94,0.8617,34,17,7,22,9,39,0,34
228.22,157,93,0.8658,34,16,7,22,9,39,0,34
229.24,158,92,0.8694,34,15,7,22,9,39,0,34
230.33,158,92,0.8610,34,15,7,22,9,39,0,34
231.38,158,92,0.8821,36,15,7,22,9,39,0,36
232.42,158,92,0.9098,38,15,7,22,9,39,0,38
233.42,160,90,0.8992,38,15,7,22,8,38,0,38
234.52,161,89,0.8958,38,15,7,22,8,37,0,38
235.54,161,89,0.9020,38,15,7,22,8,37,0,38
236.58,162,88,0.9094,38,15,7,22,7,37,2,38
237.62,163,87,0.8935,38,14,7,22,7,37,2,38
238.71,163,87,0.8905,38,14,7,22,7,37,2,38
239.72,164,86,0.9002,38,14,7,22,6,37,2,38
240.80,166,84,0.9153,40,13,7,22,5,37,2,40
241.89,166,84,0.9377,40,13,7,22,5,37,2,40
242.94,168,82,0.9476,40,13,7,20,5,37,0,40
244.02,168,82,0.9757,40,13,7,20,5,37,0,40
245.07,169,81,0.9768,40,13,7,20,5,36,0,40
246.11,171,79,1.0157,40,12,7,19,5,36,0,40
247.15,171,79,0.9875,40,12,7,19,5,36,0,40
248.18,171,79,1.0137,40,12,7,19,5,36,0,40
249.23,172,78,1.0193,40,11,7,19,5,36,0,40
250.30,173,77,1.0126,40,11,7,19,5,35,0,40
251.33,176,74,1.0156,40,11,7,18,5,33,0,40
252.36,178,72,1.0160,40,10,6,18,5,33,0,40
253.39,180,70,1.0281,40,10,5,18,4,33,0,40
254.46,180,70,1.0367,40,10,5,18,4,33,0,40
255.52,180,70,1.0753,40,10,5,18,4,33,0,40
256.55,180,70,1.0730,40,10,5,18,4,33,0,40
257.57,180,70,1.0684,40,10,5,18,4,33,0,40
258.62,180,70,1.1000,40,10,5,18,4,33,0,40
259.69,182,68,1.0930,40,10,5,17,4,32,0,40
260.74,184,66,1.0869,40,10,5,16,4,31,2,40
261.81,184,66,1.1012,40,10,5,16,4,31,2,40
262.81,184,66,1.1392,40,10,5,16,4,31,2,40
263.87,184,66,1.1669,40,10,5,16,4,31,2,40
265.00,184,66,1.1849,40,10,5,16,4,31,4,40
266.00,184,66,1.1972,40,10,5,16,4,31,2,40
267.02,184,66,1.2187,40,10,5,16,4,31,2,40
268.08,184,66,1.2171,40,10,5,16,4,31,2,40
269.10,187,63,1.2232,40,9,5,15,3,31,2,40
270.11,187,63,1.2043,40,9,5,15,3,31,0,40
271.13,187,63,1.2308,40,9,5,15,3,31,2,40
272.18,187,63,1.2319,40,9,5,15,3,31,2,40
273.24,189,61,1.2581,40,8,4,15,3,31,2,40
274.28,190,60,1.2959,40,7,4,15,3,31,2,40
275.31,192,58,1.2968,40,6,4,15,3,30,2,40
276.36,192,58,1.3205,40,6,4,15,3,30,2,40
277.40,192,58,1.3316,40,6,4,15,3,30,0,40
278.41,193,57,1.3023,40,6,4,15,3,29,0,40
279.50,193,57,1.3544,40,6,4,15,3,29,0,40
280.53,194,56,1.3390,40,6,4,15,3,28,0,40
281.60,194,56,1.3639,40,6,4,15,3,28,0,40
282.64,197,53,1.3851,40,6,4,14,2,27,0,40
283.69,197,53,1.3516,40,6,4,14,2,27,0,40
284.69,197,53,1.3863,42,6,4,14,2,27,0,42
285.73,199,51,1.3878,42,6,4,13,2,26,0,42
286.75,201,49,1.4187,42,6,4,12,2,25,0,42
287.80,202,48,1.4100,42,6,4,12,2,24,0,42
289.13,202,48,1.4065,42,6,4,12,2,24,0,42
290.15,202,48,1.4537,42,6,4,12,2,24,2,42
291.24,202,48,1.4491,42,6,4,12,2,24,4,42
292.27,202,48,1.4263,42,6,4,12,2,24,4,42
293.27,204,46,1.4710,42,6,4,12,2,22,4,42
294.32,206,44,1.4782,42,6,4,12,2,20,2,42
295.33,206,44,1.4765,42,6,4,12,2,20,2,42
296.40,206,44,1.4689,42,6,4,12,2,20,2,42
297.44,207,43,1.4748,42,5,4,12,2,20,0,42
298.51,207,43,1.4948,42,5,4,12,2,20,0,42
299.53,207,43,1.4974,42,5,4,12,2,20,0,42
